"CHINESE, MANDARIN [CHN]"
SPANISH [SPN]
ENGLISH [ENG]
BENGALI [BNG]
HINDI [HND]
PORTUGUESE [POR]
RUSSIAN [RUS]
JAPANESE [JPN]
"GERMAN, STANDARD [GER]"
"CHINESE, WU [WUU]"
JAVANESE [JAN]
KOREAN [KKN]
FRENCH [FRN]
VIETNAMESE [VIE]
TELUGU [TCW]
"CHINESE, YUE [YUH]"
MARATHI [MRT]
TAMIL [TCV]
TURKISH [TRK]
URDU [URD]
"CHINESE, MIN NAN [CFR]"
"CHINESE, JINYU [CJY]"
GUJARATI [GJR]
POLISH [PQL]
"ARABIC, EGYPTIAN SPOKEN [ARZ]"
UKRAINIAN [UKR]
ITALIAN [ITN]
"CHINESE, XIANG [HSN]"
MALAYALAM [MJS]
"CHINESE, HAKKA [HAK]"
KANNADA [KJV]
ORIYA [ORY]
"PANJABI, WESTERN [PNB]"
SUNDA [SUO]
"PANJABI, EASTERN [PNJ]"
ROMANIAN [RUM]
BHOJPURI [BHJ]
"AZERBAIJANI, SOUTH [AZB]"
"FARSI, WESTERN [PES]"
MAITHILI [MKP]
HAUSA [HUA]
"ARABIC, ALGERIAN SPOKEN [ARQ]"
BURMESE [BMS]
SERBO-CROATIAN [SRC]
"CHINESE, GAN [KNN]"
AWADHI [AWD]
THAI [THJ]
DUTCH [DUT]
YORUBA [YOR]
SINDHI [SND]
"ARABIC, MOROCCAN SPOKEN [ARY]"
"ARABIC, SAIDI SPOKEN [AEC]"
"UZBEK, NORTHERN [UZB]"
MALAY [MLI]
AMHARIC [AMH]
INDONESIAN [INZ]
IGBO [IGR]
TAGALOG [TGL]
NEPALI [NEP]
"ARABIC, SUDANESE SPOKEN [APD]"
SARAIKI [SKR]
CEBUANO [CEB]
"ARABIC, NORTH LEVANTINE SPOKEN [APC]"
"THAI, NORTHEASTERN [TTS]"
ASSAMESE [ASM]
HUNGARIAN [HNG]
CHITTAGONIAN [CIT]
"ARABIC, MESOPOTAMIAN SPOKEN [ACM]"
MADURA [MHJ]
SINHALA [SNH]
HARYANVI [BGC]
MARWARI [MKD]
CZECH [CZC]
GREEK [GRK]
MAGAHI [MQM]
CHHATTISGARHI [HNE]
DECCAN [DCC]
"CHINESE, MIN BEI [MNP]"
BELARUSAN [RUW]
"ZHUANG, NORTHERN [CCX]"
"ARABIC, NAJDI SPOKEN [ARS]"
"PASHTO, NORTHERN [PBU]"
SOMALI [SOM]
MALAGASY [MEX]
"ARABIC, TUNISIAN SPOKEN [AEB]"
RWANDA [RUA]
ZULU [ZUU]
BULGARIAN [BLG]
SWEDISH [SWD]
LOMBARD [LMO]
"OROMO, WEST-CENTRAL [GAZ]"
"PASHTO, SOUTHERN [PBT]"
KAZAKH [KAZ]
ILOCANO [ILO]
TATAR [TTR]
"FULFULDE, NIGERIAN [FUV]"
"ARABIC, SANAANI SPOKEN [AYN]"
UYGHUR [UIG]
HAITIAN CREOLE FRENCH [HAT]
"AZERBAIJANI, NORTH [AZE]"
NAPOLETANO-CALABRESE [NPL]
"KHMER, CENTRAL [KMR]"
"FARSI, EASTERN [PRS]"
AKAN [TWS]
HILIGAYNON [HIL]
KURMANJI [KUR]
SHONA [SHD]
