"id","Comm_tbl_BoardCertificateStatus_ID","BoardCertificateStatus","DateCreated"
429,"81C8A21C-63D9-4EA1-B009-016EEE2430B0",Converted,2020-08-31 07:59:09.663
419,FCDD3589-87C0-45BA-85B6-091001CBED88,Admissable,2006-01-24 19:26:11.370
417,A7AF7A08-0B44-4611-A55B-29DDA2286D8A,,2005-06-11 13:39:29.873
423,D6571D4F-EBD1-47AA-81ED-42A58D71EB32,Compliance,2009-09-02 09:35:47.217
421,"39A6FBB4-19D8-4D0F-A22E-75E19243851A",Waiver,2009-09-02 09:30:02.920
1,"47B14FEE-1078-4CF6-BC17-84E9D5C270B4",Certified,2001-04-21 11:09:20.000
428,"629DBF74-C5EF-4E76-BB5D-9516A737C133",Re-Verify Date,2014-08-20 11:18:02.477
426,A1918A15-555D-40D0-B328-A229509D7245,Grandfathered,2012-10-17 11:39:08.310
2,"9ECBA8AA-4497-4AE6-A01F-A499C5904BDB",Not Certified,2001-04-21 11:09:59.000
424,"727E92C0-4461-4F5A-BB31-B193537208DD",Registration,2010-01-05 14:42:43.987
3,AC2EEB00-128D-467C-93F3-B5FA637E94A2,Do Not Use,2001-04-21 11:09:31.000
418,"18DB407B-E346-420D-9244-B8A546B1ED99",Cancelled,2005-06-11 13:39:29.873
425,"340D3B3A-5292-489B-AB23-BB70545E1A33",Future Certification Required,2012-10-17 07:18:31.217
4,"8569C54F-F6F0-4DD4-8615-BB72BE98FFB5",Expired,2001-06-22 17:12:36.000
420,E9A69212-7EA3-44C2-989C-CE282F79DBA3,PPM,2009-09-02 09:28:38.220
422,BD82DEC3-77CB-4CE6-A3AC-DC6FDDFA99B0,Accreditation,2009-09-02 09:30:15.937
427,"383DB237-E804-4AB8-A095-E7D335BFCDB9","2010 BOD Waiver",2012-10-17 11:39:42.113
5,"40A63936-BD54-4E87-8CC1-F9FE7BBA6276","",2001-04-26 16:58:21.000
6,"7816F6A7-D48E-4FA4-ACE2-FD70D3F866C7",Qualified,2001-04-21 11:10:11.000
