"id","Comm_tbl_IssueBoard_ID","IssuingBoardName","DateCreated"
206,"0F3A8809-727A-43BF-95FC-018E3F8E7771",ABMS - Ophthamology,2005-06-11 13:39:30.420
101,E93AAC28-FEC5-4531-B319-02BDA1D03914,ADA - Prosthodontics,2001-07-14 15:03:35.000
940,F4CEEE67-2836-40A0-A44E-02C0D72370C2,CNOR,2013-06-28 07:27:40.937
207,"2B423474-EB0B-4F02-9EF5-043012AC1FDC",ABNM - American Board of Nuclear Medicine,2005-06-11 13:39:30.420
76,"11EEA9AD-D001-49D6-9D7F-05ED17960AB7",AOA - Dermatology,2001-07-14 15:03:35.000
75,"19612668-20A4-4D3C-A77F-06563AE319CC",AOA - Anesthesiology,2001-07-14 15:03:35.000
99,"8950C4B6-0329-4558-B8D3-0779CC00977F",ADA - Pediatric Dentistry,2001-07-14 15:03:35.000
856,"466EC72E-2E15-4F48-83F5-08871F1FBC28",American Board of Family Practice/Geriatric Med,2010-07-14 18:07:27.600
217,"09B0B0CA-F467-436A-9EE8-0B3A43EFE79F",AOA - Urological Surgery,2008-10-16 15:35:32.473
881,"29125A11-522E-4F32-9F9D-0CEAB38B0FB4",American Board of Psychiatry/Neurology-Adolescent,2010-07-14 18:07:27.600
66,"80E1A25E-3FB7-49C2-B6FD-0DF81715E051",ABMS - Physical Medicine & Rehabilitation,2001-07-14 15:03:35.000
850,"46DD00FE-0812-4F37-8701-0F849F6CFC69",Am Board of Allergy & Immunology/Clinical & Lab,2010-07-14 18:07:27.600
216,"788D1A03-2847-4347-8A7E-10C72473E74B",ABSA - American Board of Surigcal Assistants,2008-08-11 15:09:15.450
80,"1EEEA700-4F5D-4109-8E28-1202B064E575",AOA - Neurology and Psychiatry,2001-07-14 15:03:35.000
914,"78A0E865-4042-4178-BE12-126BC8ACB74A",Certification Board of Nuclear Cardiology,2010-07-14 18:07:27.600
871,"2D550196-85BF-4F97-B98C-14B78C285045",Am Board OB GYN - Maternal Fetal Medicine,2010-07-14 18:07:27.600
880,"3BBE34BE-F4A1-4F68-94BE-15E278F51512",American Board of Psychiatry/Neurology-Addiction,2010-07-14 18:07:27.600
947,"78609E66-8739-49E9-B3BB-1666F29E1201",The American Registry of Radiologic Technologists ,2024-04-04 08:13:44.763
918,"7534D7E2-A49C-4FE5-8179-17550DA3DF96",DRAD,2010-07-14 18:07:27.600
92,"0C381C5C-EDEF-4443-8E3D-177FAE18D60D",AOA - Surgery,2001-07-14 15:03:35.000
65,A66E8FB7-E5E2-4551-B367-17E9DE04C461,ABMS - Pediatrics,2001-07-14 15:03:35.000
57,B116E728-DE81-4AE4-A3C0-1B28A7EB9B63,ABMS - Medical Genetics,2001-07-14 15:03:35.000
929,"46ED63D6-7002-494F-8798-1C5F846E9AB0",Pennsylvania Certification Board,2010-07-14 18:07:27.600
933,A88399CD-268B-47A4-9B8E-1C5FA7CD1CC2,PODO,2010-07-14 18:07:27.600
108,"0D3BC8E8-7712-4772-9489-1C9DF2BC72ED",Other - Physical Therapy,2001-07-14 15:03:35.000
72,B1B58919-80A0-4D34-9420-1F8AB4AFFA5A,ABMS - Thoracic Surgery,2001-07-14 15:03:35.000
866,"3206433E-9571-4DAB-BC0C-216BDC13EFDC",American Board of IM/Interventional Cardiology,2010-07-14 18:07:27.600
